batch_id,time_h,temperature_C,pH,DO_percent,C_glucose_g_L^-1,C_biomass_g_L^-1,C_product_g_L^-1
1,38.5,34.4,4.89,5.7,11.0,20.1,46.1
1,39.0,34.2,4.85,1.9,12.3,19.8,46.9
1,39.5,34.6,4.78,0.7,11.5,20.0,46.1
1,40.0,34.3,4.9,1.3,10.4,19.9,46.5
1,40.5,34.1,4.75,3.0,11.3,19.9,47.0
1,41.0,34.2,4.83,3.0,11.6,19.2,46.7
1,41.5,34.1,4.83,1.3,8.9,19.7,47.0
1,42.0,34.1,4.79,0.1,9.1,19.9,46.3
1,42.5,34.5,4.87,5.5,10.4,20.5,47.0
1,43.0,34.5,4.82,3.4,9.9,20.0,46.6
1,43.5,34.7,4.81,1.6,9.1,20.4,47.3
1,44.0,34.3,4.85,1.9,9.8,19.9,46.3
1,44.5,34.8,4.8,1.1,7.4,19.9,46.4
1,45.0,34.5,4.89,-3.8,6.7,18.8,47.5
1,45.5,34.9,4.84,2.3,7.1,20.1,46.8
1,46.0,34.5,4.79,-0.2,7.9,20.2,46.8
1,46.5,34.5,4.72,-0.1,6.8,20.5,47.0
1,47.0,34.7,4.75,0.5,6.9,19.9,46.7
1,47.5,34.9,4.86,3.2,6.2,20.0,47.7
1,48.0,34.8,4.81,-0.7,6.3,19.8,46.5
2,0.0,35.0,5.48,88.9,99.3,1.8,0.1
2,0.5,35.2,5.49,83.2,95.1,1.9,2.8
2,1.0,35.2,5.5,79.2,92.1,2.0,3.8
2,1.5,35.1,5.47,74.6,85.3,1.9,6.7
2,2.0,35.2,5.42,70.0,84.1,2.0,7.0
2,2.5,35.6,5.43,64.7,80.9,2.0,9.0
2,3.0,35.3,5.44,62.2,77.4,2.0,10.3
2,3.5,35.7,5.4,59.9,73.1,2.0,12.3
2,4.0,35.4,5.38,52.8,71.4,1.3,14.5
2,4.5,35.6,5.45,51.3,68.0,2.1,16.0
2,5.0,35.8,5.33,48.0,66.7,1.6,17.2
2,5.5,35.5,5.35,46.2,62.3,1.4,18.5
2,6.0,35.9,5.25,42.4,60.4,2.4,19.1
2,6.5,35.8,5.37,39.9,57.9,1.7,20.2
2,7.0,35.6,5.37,35.5,56.4,2.1,22.3
2,7.5,35.5,5.35,35.3,51.0,1.9,23.9
2,8.0,35.4,5.36,31.3,51.0,2.0,24.1
2,8.5,35.7,5.32,32.1,50.0,2.5,24.7
2,9.0,35.4,5.31,29.0,46.9,2.3,25.6
2,9.5,35.3,5.31,27.5,43.8,3.0,27.0
2,10.0,35.4,5.26,24.0,43.8,3.5,29.1
2,10.5,35.9,5.32,25.8,42.0,4.5,29.1
2,11.0,35.4,5.24,24.1,39.7,5.1,29.5
2,11.5,35.4,5.17,23.1,37.2,6.8,30.5
2,12.0,35.2,5.28,24.5,36.0,8.5,31.4
2,12.5,35.2,5.32,18.8,35.0,9.9,32.5
2,13.0,34.6,5.17,20.1,33.0,10.9,32.7
2,13.5,34.7,5.21,16.4,30.5,11.9,33.3
2,14.0,34.8,5.17,16.4,30.4,13.4,34.3
2,14.5,34.6,5.17,15.4,29.8,13.8,35.3
2,15.0,34.5,5.19,14.3,28.1,13.2,36.0
2,15.5,34.3,5.12,14.3,27.4,13.9,36.5
2,16.0,34.3,5.16,11.6,26.4,14.0,36.6
2,16.5,34.2,5.09,11.5,26.2,13.9,36.5
2,17.0,33.8,5.13,11.8,26.5,14.0,37.5
2,17.5,34.0,5.09,13.6,24.0,14.1,38.5
2,18.0,34.3,5.09,7.8,20.9,14.3,38.2
2,18.5,34.5,5.05,5.3,18.7,14.0,39.4
2,19.0,34.6,5.19,7.4,20.4,14.1,39.4
2,19.5,34.2,5.14,8.0,19.8,14.4,39.9
2,20.0,34.4,5.01,7.7,17.7,14.1,41.1
2,20.5,34.4,5.07,7.1,18.4,14.2,41.1
2,21.0,34.2,5.06,8.9,16.6,14.3,42.0
2,21.5,34.0,5.06,8.1,17.1,14.5,41.2
2,22.0,34.4,5.01,5.7,15.7,14.4,42.6
2,22.5,34.2,5.12,4.5,15.7,14.1,42.8
2,23.0,34.5,5.05,4.4,13.0,14.1,41.1
2,23.5,34.8,5.09,4.1,13.7,13.6,42.9
2,24.0,34.5,5.09,4.0,13.4,14.1,44.0
2,24.5,34.9,5.12,1.1,11.6,13.7,43.9
2,25.0,35.2,4.96,3.0,14.3,13.7,43.6
2,25.5,35.1,5.13,2.9,11.4,14.2,43.9
2,26.0,35.3,5.1,3.1,12.8,14.0,43.6
2,26.5,35.4,5.06,2.8,10.3,14.1,44.6
2,27.0,35.7,5.14,4.4,10.3,13.8,43.8
2,27.5,35.5,5.03,1.8,11.3,14.4,44.4
2,28.0,35.8,5.06,1.8,10.0,14.0,45.7
2,28.5,35.6,4.97,3.6,9.5,14.4,45.3
2,29.0,35.5,5.06,1.9,9.2,14.2,45.4
2,29.5,35.8,5.01,2.7,7.2,14.0,45.7
2,30.0,35.6,4.97,3.5,7.8,13.9,47.3
2,30.5,35.7,5.1,2.8,6.9,14.0,46.6
2,31.0,35.7,4.97,2.4,7.7,14.2,45.8
2,31.5,35.3,4.98,1.4,6.7,14.2,47.2
2,32.0,35.8,4.97,3.0,6.9,13.6,46.5
2,32.5,35.5,4.93,1.9,6.6,14.3,47.0
2,33.0,35.7,4.99,0.4,6.4,13.9,46.5
2,33.5,36.0,5.0,1.1,6.1,14.2,46.5
2,34.0,35.5,4.98,-1.2,5.2,13.8,47.5
2,34.5,35.5,4.84,-0.7,4.6,14.2,46.8
2,35.0,35.8,5.0,-2.6,4.7,13.8,46.9
2,35.5,35.5,4.93,-0.3,6.3,14.0,47.9
2,36.0,35.5,4.88,3.7,5.4,13.9,46.9
2,36.5,35.2,4.97,-0.2,5.4,13.9,46.9
2,37.0,35.3,4.96,2.5,6.0,13.8,48.0
2,37.5,34.9,4.88,0.8,3.2,14.0,46.8
2,38.0,34.8,5.05,-0.6,4.7,13.5,47.5
2,38.5,35.0,4.86,3.4,3.0,14.3,47.8
2,39.0,34.6,4.83,1.9,3.5,14.3,47.4
2,39.5,34.8,4.86,-2.9,4.2,13.9,47.6
2,40.0,35.0,4.98,2.7,5.2,13.6,48.5
2,40.5,34.1,4.9,-1.6,2.6,13.8,48.4
2,41.0,34.3,4.89,0.2,3.2,14.3,47.9
2,41.5,34.6,4.9,1.8,4.3,14.2,48.7
2,42.0,34.3,4.87,-0.1,1.5,13.9,49.2
2,42.5,34.5,4.86,2.7,3.3,14.3,47.9
2,43.0,34.0,4.86,1.9,2.5,13.7,48.6
2,43.5,34.3,4.92,-2.8,1.8,13.8,49.7
2,44.0,34.2,4.94,-0.6,2.7,14.1,49.0
2,44.5,34.2,4.83,0.9,3.0,14.0,49.2
2,45.0,34.3,4.89,-0.8,1.4,13.8,48.7
2,45.5,34.0,4.91,-0.1,2.6,13.2,48.5
2,46.0,34.1,4.82,1.9,2.3,14.2,49.5
2,46.5,34.6,4.84,0.9,0.8,14.1,49.3
2,47.0,34.5,4.82,-1.6,3.5,13.5,49.0
2,47.5,34.5,4.8,0.6,3.0,14.2,48.8
2,48.0,34.6,4.87,-1.0,1.0,14.0,48.2
2,48.5,34.7,4.82,-2.2,1.2,14.1,49.2
2,49.0,34.5,4.89,-2.1,2.5,14.3,48.8
2,49.5,34.6,4.85,0.8,1.1,13.8,49.1
2,50.0,35.2,4.87,0.1,-0.3,14.2,49.6
2,50.5,35.1,4.83,0.2,2.5,14.2,49.7
2,51.0,35.3,4.81,-2.1,1.4,14.2,49.6
2,51.5,35.1,4.84,-0.2,3.3,14.5,50.4
2,52.0,35.6,4.84,-1.9,1.7,14.2,49.9
2,52.5,35.5,4.8,-1.7,1.4,13.8,49.0
2,53.0,35.6,4.86,-0.2,4.1,14.5,49.0
2,53.5,35.7,4.87,-2.7,1.0,13.7,50.6
2,54.0,35.5,4.84,1.4,0.2,13.9,49.1
2,54.5,35.3,4.92,5.1,1.3,13.7,49.4
2,55.0,35.5,4.8,1.0,2.2,14.0,50.4
2,55.5,36.1,4.85,-2.0,-0.2,14.3,50.4
2,56.0,36.1,4.8,-0.5,0.0,14.4,49.5
2,56.5,35.7,4.83,-3.0,1.4,14.1,49.7
2,57.0,35.7,4.78,-0.7,-2.3,13.8,48.7
2,57.5,36.0,4.87,1.1,-0.3,13.8,49.1
2,58.0,35.7,4.82,1.2,1.6,13.8,49.4
2,58.5,35.4,4.87,-2.0,0.2,14.3,49.6
2,59.0,35.9,4.75,0.7,-0.9,13.7,49.5
2,59.5,35.7,4.79,2.4,2.6,14.3,49.7
2,60.0,35.0,4.76,3.6,-0.7,14.0,50.8
3,0.0,35.1,5.44,91.3,102.2,2.3,-0.4
3,0.5,35.1,5.48,86.1,97.8,2.0,0.9
3,1.0,35.1,5.53,85.1,96.9,1.5,3.0
3,1.5,35.1,5.43,78.2,95.1,1.7,5.5
3,2.0,35.4,5.39,81.6,91.9,1.6,7.3
3,2.5,35.0,5.37,76.3,90.2,1.9,9.0
3,3.0,35.2,5.48,69.4,87.8,2.4,10.3
3,3.5,35.0,5.29,74.4,88.2,2.2,11.1
3,4.0,35.3,5.38,73.4,83.1,2.1,12.5
3,4.5,35.3,5.33,66.2,82.9,1.6,14.8
3,5.0,35.5,5.4,68.3,82.6,2.7,15.6
3,5.5,35.6,5.35,62.3,79.4,2.0,17.9
3,6.0,35.5,5.27,57.3,77.3,2.7,17.8
3,6.5,35.7,5.18,59.2,76.5,1.7,20.5
3,7.0,35.8,5.31,58.8,75.2,1.8,20.4
3,7.5,35.5,5.3,56.6,73.7,2.8,22.0
3,8.0,35.6,5.16,54.8,71.9,1.7,23.0
3,8.5,35.1,5.24,53.5,70.9,2.1,23.7
3,9.0,35.6,5.15,51.7,69.7,1.9,23.8
3,9.5,35.6,5.13,49.3,66.2,1.8,25.5
3,10.0,35.3,5.08,47.0,65.5,2.7,27.3
3,10.5,35.5,5.19,46.2,65.4,1.7,26.8
3,11.0,35.8,5.15,44.6,63.7,2.3,27.3
3,11.5,35.4,5.15,43.3,62.2,2.4,28.9
3,12.0,35.9,5.18,40.3,61.3,1.8,29.5
3,12.5,35.8,5.13,40.1,60.4,1.5,29.8
3,13.0,35.7,5.12,40.1,57.3,1.6,30.7
3,13.5,35.7,5.12,39.3,55.8,2.0,31.5
3,14.0,35.9,5.01,37.4,54.6,2.5,32.2
3,14.5,35.5,5.06,36.0,56.5,2.8,33.0
3,15.0,36.2,4.99,36.3,52.5,3.1,33.9
3,15.5,35.6,4.99,35.8,52.2,3.8,34.3
3,16.0,35.6,5.02,34.5,51.2,5.2,34.8
3,16.5,36.0,5.07,28.6,51.3,6.6,36.0
3,17.0,35.9,5.11,30.2,47.5,8.6,36.1
3,17.5,36.1,4.95,31.6,48.2,10.9,34.6
3,18.0,36.0,5.0,30.2,48.5,14.2,36.3
3,18.5,35.9,4.98,29.7,47.4,17.0,36.2
3,19.0,35.5,5.0,28.1,45.7,19.3,37.0
3,19.5,35.7,5.0,24.9,44.1,21.4,38.1
3,20.0,35.8,4.98,28.2,45.2,23.5,38.0
3,20.5,35.8,4.91,22.3,40.9,24.7,38.3
3,21.0,35.4,4.97,26.2,42.7,24.7,39.5
3,21.5,36.0,4.99,23.4,41.3,24.7,38.4
3,22.0,36.1,4.91,19.8,40.6,25.7,39.4
3,22.5,36.1,5.03,21.3,39.4,25.5,40.1
3,23.0,35.5,4.91,23.8,38.6,26.1,40.1
3,23.5,35.8,4.89,19.5,38.5,25.8,39.8
3,24.0,35.3,4.93,17.7,35.6,26.6,40.6
3,24.5,36.1,4.89,18.9,34.8,26.0,41.3
3,25.0,35.3,4.83,17.2,35.4,26.2,41.3
3,25.5,35.8,4.89,15.8,34.6,25.6,41.5
3,26.0,35.9,4.97,18.6,34.0,25.1,41.8
3,26.5,35.9,4.98,18.8,34.7,26.0,41.9
3,27.0,35.7,4.85,15.5,31.9,26.1,41.4
3,27.5,35.3,4.92,17.2,32.5,26.2,42.1
3,28.0,35.6,4.88,14.9,31.5,25.8,42.7
3,28.5,35.5,4.88,15.0,32.9,25.6,41.1
3,29.0,35.6,4.92,14.9,28.5,25.5,43.2
3,29.5,35.7,4.9,17.2,28.7,26.2,43.1
3,30.0,35.6,4.86,14.8,28.2,26.2,42.6
3,30.5,35.9,4.8,11.4,29.4,25.7,42.9
3,31.0,35.6,4.79,14.0,26.7,25.8,43.3
3,31.5,35.3,4.84,12.1,28.6,25.8,43.8
3,32.0,35.7,4.85,11.2,28.0,25.4,43.5
3,32.5,35.3,4.86,10.1,26.7,26.1,44.5
3,33.0,35.4,4.87,11.4,25.7,26.3,44.2
3,33.5,35.3,4.87,11.0,23.2,25.9,43.7
3,34.0,34.8,4.7,9.9,24.4,25.6,44.0
3,34.5,35.3,4.86,7.6,22.3,25.9,44.5
3,35.0,35.2,4.76,6.7,22.9,26.4,44.8
3,35.5,35.1,4.87,10.0,23.0,26.6,44.9
3,36.0,35.1,4.83,9.8,22.0,26.1,44.6
4,0.0,35.0,5.53,92.2,99.5,2.6,0.2
4,0.5,35.1,5.44,75.6,95.9,2.2,2.5
4,1.0,35.3,5.48,69.4,92.0,2.2,3.3
4,1.5,35.0,5.51,58.6,88.8,2.3,5.8
4,2.0,35.4,5.42,54.5,87.4,1.5,8.9
4,2.5,35.0,5.54,47.5,83.1,2.0,9.5
4,3.0,35.5,5.49,39.7,81.9,1.6,11.4
4,3.5,35.5,5.49,40.4,78.4,2.5,12.8
4,4.0,35.5,5.41,36.2,76.2,1.9,14.1
4,4.5,35.1,5.34,28.1,76.2,2.6,15.2
4,5.0,35.9,5.36,26.8,71.7,2.5,16.8
4,5.5,35.8,5.41,22.5,69.0,2.1,19.6
4,6.0,35.7,5.36,20.6,66.9,1.9,20.0
4,6.5,35.8,5.4,20.8,63.4,2.3,20.7
4,7.0,35.5,5.37,15.1,64.0,3.3,22.1
4,7.5,35.9,5.32,17.4,61.5,3.4,24.1
4,8.0,36.1,5.39,11.6,58.1,3.7,24.3
4,8.5,35.6,5.4,10.6,57.0,5.0,25.6
4,9.0,36.3,5.29,13.3,54.2,6.5,26.4
4,9.5,35.7,5.34,8.9,53.5,7.5,27.3
4,10.0,36.0,5.31,3.3,50.0,7.7,29.7
4,10.5,35.6,5.31,7.0,49.9,8.6,29.7
4,11.0,35.9,5.28,3.2,49.5,9.2,30.4
4,11.5,35.5,5.22,1.8,46.9,8.9,31.1
4,12.0,35.6,5.34,2.6,44.3,9.5,32.6
4,12.5,35.7,5.21,4.6,44.4,9.6,33.0
4,13.0,35.5,5.21,1.3,44.0,10.0,33.9
4,13.5,35.6,5.28,0.3,41.4,9.8,34.5
4,14.0,35.8,5.25,2.0,39.4,9.5,34.9
4,14.5,35.3,5.19,3.2,37.2,10.1,35.5
4,15.0,35.2,5.19,0.7,37.2,9.8,35.5
4,15.5,35.4,5.21,-0.7,37.5,9.6,36.7
4,16.0,35.3,5.19,-2.7,32.4,9.6,38.6
4,16.5,35.1,5.24,-0.1,34.3,9.9,37.5
4,17.0,35.3,5.14,3.0,32.3,10.4,38.6
4,17.5,35.1,5.21,3.1,32.7,9.9,39.3
4,18.0,35.2,5.26,2.6,30.0,10.3,40.2
4,18.5,35.0,5.19,0.5,27.0,9.3,41.4
4,19.0,34.9,5.13,1.0,30.2,9.7,40.3
4,19.5,34.9,5.13,3.2,26.1,9.6,40.5
4,20.0,35.1,5.16,-1.1,27.2,9.9,41.9
4,20.5,35.0,5.12,1.3,25.4,10.2,41.9
4,21.0,34.7,5.21,-3.3,24.6,9.8,43.1
4,21.5,34.5,5.05,1.8,24.0,9.6,42.9
4,22.0,34.3,5.22,-0.5,22.5,10.3,42.5
4,22.5,34.1,5.03,-2.0,22.5,9.8,43.1
4,23.0,34.3,5.12,1.8,21.9,10.1,43.7
4,23.5,34.3,5.06,-2.0,21.7,9.8,44.1
4,24.0,34.4,5.15,-1.5,20.3,10.2,43.5
4,24.5,34.0,5.07,3.3,19.8,9.9,43.4
4,25.0,34.6,5.04,-1.9,20.2,10.2,43.8
4,25.5,34.5,5.08,-1.2,17.4,10.2,45.2
4,26.0,34.5,5.07,-1.2,17.7,10.7,45.1
4,26.5,34.1,4.99,1.7,17.6,10.0,44.5
4,27.0,34.3,5.1,-3.6,17.6,9.7,45.3
4,27.5,34.0,4.95,2.6,15.9,9.7,44.9
4,28.0,34.5,5.13,-0.4,15.6,9.8,45.9
4,28.5,34.0,5.05,-0.6,14.6,10.1,45.8
4,29.0,34.1,5.11,-1.7,15.7,9.8,46.2
4,29.5,34.5,5.02,-0.2,13.7,10.5,46.6
4,30.0,34.7,5.01,3.0,14.2,10.1,46.9
4,30.5,34.2,5.08,0.5,13.0,9.7,47.0
4,31.0,34.2,5.01,-1.8,12.7,9.9,47.8
4,31.5,33.8,4.96,-0.7,11.0,9.8,48.5
4,32.0,34.7,5.02,1.1,11.9,10.1,47.9
4,32.5,34.5,4.96,0.2,11.4,9.7,47.5
4,33.0,34.1,5.02,-0.5,9.6,10.4,48.1
4,33.5,34.7,5.08,1.2,10.0,9.9,47.5
4,34.0,34.7,5.06,0.7,9.9,9.9,47.6
4,34.5,34.5,5.01,-2.1,8.5,10.3,47.7
4,35.0,34.5,4.99,-3.8,8.5,9.8,48.4
4,35.5,34.9,4.98,1.0,10.8,10.0,49.0
4,36.0,34.8,4.96,3.7,8.0,10.5,49.6
4,36.5,34.9,5.01,-1.6,7.9,10.1,49.2
4,37.0,35.2,4.98,-0.3,7.1,10.1,49.0
4,37.5,35.2,4.96,2.7,9.4,9.9,48.4
4,38.0,35.2,4.99,3.5,8.9,9.7,48.9
4,38.5,35.2,4.87,0.1,8.0,10.5,49.2
4,39.0,34.9,5.07,2.5,7.5,10.0,49.0
4,39.5,35.0,5.0,1.5,6.7,10.6,50.0
4,40.0,35.5,4.89,-1.1,6.7,9.8,48.8
4,40.5,35.5,4.97,-4.0,6.0,10.4,48.9
4,41.0,35.5,4.9,-1.8,7.2,9.9,49.5
4,41.5,35.6,4.93,0.7,7.0,10.1,50.4
4,42.0,35.4,4.9,0.8,7.0,10.4,48.6
5,0.0,34.8,5.47,91.9,100.6,2.0,0.5
5,0.5,35.3,5.45,88.3,97.8,1.7,0.8
5,1.0,34.9,5.39,83.7,94.9,1.9,2.4
5,1.5,35.5,5.45,86.4,91.8,2.0,3.1
5,2.0,35.0,5.41,82.8,90.7,2.0,3.3
5,2.5,35.4,5.38,78.2,90.6,1.7,4.8
5,3.0,35.2,5.33,79.7,86.2,2.0,5.2
5,3.5,35.4,5.2,76.6,84.0,2.1,6.5
5,4.0,35.1,5.21,75.3,82.4,2.4,6.9
5,4.5,35.0,5.26,70.7,80.5,2.2,8.3
5,5.0,35.5,5.09,69.0,78.3,2.3,8.2
5,5.5,35.3,5.2,66.7,77.6,2.2,9.0
5,6.0,35.3,5.13,65.6,75.5,1.8,9.5
5,6.5,35.3,5.2,60.4,74.6,1.9,10.1
5,7.0,35.3,5.14,65.6,72.3,2.3,10.9
5,7.5,35.8,5.18,59.5,70.2,1.8,11.7
5,8.0,35.4,5.13,61.5,66.2,1.7,12.4
5,8.5,35.5,5.1,56.2,66.9,2.0,12.7
5,9.0,36.0,5.03,57.6,64.5,1.5,13.0
5,9.5,35.6,5.09,53.6,64.7,1.8,12.9
5,10.0,35.7,5.17,54.5,62.2,1.7,14.6
5,10.5,35.8,4.95,50.0,59.9,1.9,14.3
5,11.0,35.7,4.97,50.7,58.7,2.4,15.2
5,11.5,35.6,5.09,52.0,56.6,2.7,14.9
5,12.0,36.0,5.02,49.8,55.9,2.2,16.6
5,12.5,35.8,4.97,48.5,55.5,1.7,16.5
5,13.0,35.6,5.01,45.3,55.0,2.2,16.1
5,13.5,35.5,4.98,41.4,53.1,2.1,17.1
5,14.0,35.6,4.92,42.9,52.2,1.8,17.9
5,14.5,35.6,4.91,42.6,51.0,2.3,17.4
5,15.0,35.4,4.97,45.5,48.6,1.9,17.0
5,15.5,36.0,4.94,42.6,49.3,1.9,18.4
5,16.0,35.8,4.96,41.1,45.3,2.1,19.3
5,16.5,35.9,4.93,38.3,45.7,2.4,17.9
5,17.0,35.5,4.86,37.0,44.0,2.2,19.4
5,17.5,35.7,4.96,38.8,41.5,2.6,19.1
5,18.0,35.7,4.83,35.8,44.1,2.2,19.4
5,18.5,35.8,4.85,35.0,39.4,3.3,19.7
5,19.0,35.7,4.83,38.6,41.2,3.8,19.9
5,19.5,35.5,4.79,32.0,41.3,4.8,20.5
5,20.0,35.9,4.88,32.5,38.4,5.5,19.7
5,20.5,35.9,4.79,31.8,37.6,7.6,20.4
5,21.0,35.7,4.8,30.2,34.9,9.5,20.2
5,21.5,35.9,4.88,27.9,35.7,12.1,20.6
5,22.0,35.9,4.87,32.5,36.5,13.4,22.5
5,22.5,35.9,4.79,26.4,33.7,15.2,20.7
5,23.0,35.6,4.75,26.7,32.5,16.3,21.5
5,23.5,35.5,4.81,28.3,30.3,16.6,21.6
5,24.0,35.4,4.73,24.6,33.2,16.9,20.7
5,24.5,35.7,4.75,26.1,31.6,17.9,21.2
5,25.0,35.3,4.78,25.3,30.1,17.8,21.0
5,25.5,35.3,4.79,24.7,30.7,17.5,21.9
5,26.0,35.5,4.76,24.2,28.5,18.0,21.5
5,26.5,35.5,4.78,21.1,28.0,17.7,21.8
5,27.0,35.5,4.85,22.2,29.8,18.1,21.6
5,27.5,35.1,4.81,25.3,26.1,18.2,22.8
5,28.0,35.3,4.85,24.5,26.7,17.7,22.9
5,28.5,35.4,4.82,20.5,26.0,18.1,23.4
5,29.0,35.1,4.78,23.3,25.2,17.1,22.7
5,29.5,35.1,4.71,18.7,24.5,18.2,23.2
5,30.0,35.1,4.7,17.4,22.7,17.4,23.5
5,30.5,35.4,4.76,15.6,23.3,18.8,24.1
5,31.0,35.2,4.74,16.9,22.6,18.1,22.5
5,31.5,34.7,4.71,19.6,21.6,17.8,22.8
5,32.0,34.6,4.78,17.5,21.0,18.3,22.8
5,32.5,35.0,4.81,21.0,20.3,17.8,22.6
5,33.0,34.8,4.75,19.0,20.0,18.0,23.8
5,33.5,34.9,4.75,16.1,20.7,17.9,23.8
5,34.0,34.8,4.72,16.0,19.8,18.0,22.8
5,34.5,35.0,4.71,15.6,21.0,17.8,23.0
5,35.0,34.4,4.84,17.6,19.5,18.1,23.8
5,35.5,34.6,4.68,14.5,17.8,17.8,23.5
5,36.0,34.7,4.73,14.8,17.5,18.0,23.9
5,36.5,34.7,4.72,13.0,17.4,18.2,23.7
5,37.0,34.4,4.73,16.7,16.8,17.8,24.4
5,37.5,34.4,4.79,13.1,16.8,18.3,24.5
5,38.0,34.4,4.78,12.2,18.3,18.1,23.0
5,38.5,34.5,4.73,10.1,15.8,17.9,24.7
5,39.0,34.6,4.79,14.7,15.7,17.8,23.8
5,39.5,34.4,4.69,11.3,14.1,18.0,23.5
5,40.0,34.4,4.75,12.0,13.4,17.9,24.4
5,40.5,34.0,4.82,11.1,14.4,17.8,23.7
5,41.0,34.1,4.7,11.2,13.8,18.0,23.6
5,41.5,34.7,4.74,7.3,14.1,17.9,24.0
